LAYER,Quantity,Description,Priority,Ordered,Received,Programmed,Machined,Heat treatment,Grinding,Wiring,Hard Machine,,Dimensions,Material,Treatment,Tolerance,Supplier,Cut Off,Code,Vice,Machine,Group
,,,,,,,,,,,,,,,,,,,,,,
,8,GRUB SCREW,,1,1,,,,,,,,M16x14,,,,GENERAL,,,,,1
,52,Cap Head Screw,,1,1,,,,,,,,M12x40,,,,GENERAL,,,,,1
,12,Cap Head Screw,,1,1,,,,,,,,M8x35,,,,GENERAL,,,,,1
,10,Cap Head Screw,,1,1,,,,,,,,M10x70,,,,GENERAL,,,,,1
,2,Cap Head Screw,,1,1,,,,,,,,M12x55,,,,GENERAL,,,,,1
,2,Dowel Pin,,1,1,,,,,,,,Ø12x70,,,,GENERAL,,,,,1
,22,Cap Head Screw,,1,1,,,,,,,,M12x70,,,,GENERAL,,,,,1
,52,Cap Head Screw,,1,1,,,,,,,,M12x50,,,,GENERAL,,,,,1
,4,Cap Head Screw,,1,1,,,,,,,,M6x25,,,,GENERAL,,,,,1
,2,Dowel Pin,,1,1,,,,,,,,Ø12x50,,,,GENERAL,,,,,1
,12,Dowel Pin,,1,1,,,,,,,,Ø12x60,,,,GENERAL,,,,,1
,6,Cap Head Screw,,1,1,,,,,,,,M10x45,,,,GENERAL,,,,,1
,8,Cap Head Screw,,1,1,,,,,,,,12x70,,,,GENERAL,,SCREW_1,,,1
,12,Cap Head Screw,,1,1,,,,,,,,8x60,,,,GENERAL,,,,,1
10,4,GAS SPRING,,1,1,,,,,,,,,,,,KALLER,,X1500-016,,,1
14,2,GAS SPRING,,1,1,,,,,,,,,,,,KALLER,,X1000-016,,,1
28,4,UPPER PIERCE PUNCH 01,,1,1,,,,,,,,,,,,AWP,,MET16C 9.75 75lg,,,1
3,3,UPPER PIERCE PUNCH 02,,1,1,,,,,,,,,,,,AWP,,MET18C 13.75 75lg,,,1
4,1,UPPER PIERCE PUNCH 03,,1,1,,,,,,,,,,,,AWP,,SEE DETAIL DWG,,,1
20,8,OP10 LOWER BERGER LOCATOR PIN Ø10 63MM LONG,,1,1,,,,,,,,,D2,,,BERGER,,SEE DETAIL DWG,,,1
22,8,SPRING,,1,1,,,,,,,,,HSS,,,BERGER,,L12-060,,,1
23,29,SPRING,,1,1,,,,,,,,,HSS,,,BERGER,,R32-064,,,1
,12,SVC BOLT,,1,1,,,,,,,,12.5x40,HSS,,,BERGER,,SVC-M8-40,,,1
8,10,SVC BOLT,,1,1,,,,,,,,,HSS,,,BERGER,,SVC-M10-40,,,1
